CMDLINE /Library/Frameworks/Python.framework/Versions/3.13/bin/python3.13 services/sales_service.py
MEM 0.351562 1732982484.0041
MEM 11.605469 1732982484.1084
MEM 20.496094 1732982484.2086
MEM 21.519531 1732982484.3126
MEM 22.441406 1732982484.4171
MEM 23.625000 1732982484.5196
MEM 25.019531 1732982484.6226
MEM 28.078125 1732982484.7264
MEM 31.250000 1732982484.8289
MEM 32.613281 1732982484.9292
MEM 34.585938 1732982485.0297
MEM 36.839844 1732982485.1340
MEM 38.652344 1732982485.2352
MEM 40.093750 1732982485.3358
MEM 41.062500 1732982485.4400
MEM 41.953125 1732982485.5411
MEM 41.953125 1732982485.6455
MEM 41.953125 1732982485.7485
MEM 41.953125 1732982485.8532
MEM 41.953125 1732982485.9581
MEM 41.953125 1732982486.0605
MEM 41.953125 1732982486.1626
MEM 41.953125 1732982486.2630
MEM 41.953125 1732982486.3637
MEM 41.953125 1732982486.4647
MEM 41.953125 1732982486.5666
MEM 41.953125 1732982486.6706
MEM 41.953125 1732982486.7748
MEM 41.953125 1732982486.8771
MEM 41.953125 1732982486.9796
MEM 41.953125 1732982487.0816
MEM 41.953125 1732982487.1821
MEM 41.953125 1732982487.2870
MEM 41.953125 1732982487.3892
MEM 41.953125 1732982487.4915
MEM 41.953125 1732982487.5940
MEM 41.953125 1732982487.6954
MEM 41.953125 1732982487.7983
MEM 41.953125 1732982487.9009
MEM 41.953125 1732982488.0025
MEM 41.953125 1732982488.1041
MEM 41.953125 1732982488.2065
MEM 41.953125 1732982488.3068
MEM 41.953125 1732982488.4083
MEM 41.953125 1732982488.5122
MEM 41.953125 1732982488.6173
MEM 41.953125 1732982488.7201
MEM 41.953125 1732982488.8206
MEM 41.953125 1732982488.9211
MEM 41.953125 1732982489.0227
MEM 41.953125 1732982489.1236
MEM 41.953125 1732982489.2293
MEM 41.953125 1732982489.3349
MEM 41.953125 1732982489.4367
MEM 41.953125 1732982489.5387
MEM 41.953125 1732982489.6396
MEM 41.953125 1732982489.7418
MEM 41.953125 1732982489.8459
MEM 41.953125 1732982489.9491
MEM 41.953125 1732982490.0542
MEM 41.953125 1732982490.1554
MEM 41.953125 1732982490.2574
MEM 41.953125 1732982490.3585
MEM 41.953125 1732982490.4605
MEM 41.964844 1732982490.5637
