CMDLINE /Library/Frameworks/Python.framework/Versions/3.13/bin/python3.13 services/sales_service.py
MEM 0.316406 1732981925.1418
MEM 11.785156 1732981925.2456
MEM 20.468750 1732981925.3462
MEM 21.292969 1732981925.4470
MEM 22.421875 1732981925.5476
MEM 23.316406 1732981925.6532
MEM 24.648438 1732981925.7579
MEM 27.433594 1732981925.8622
MEM 29.921875 1732981925.9626
MEM 32.210938 1732981926.0667
MEM 34.074219 1732981926.1680
MEM 35.949219 1732981926.2683
MEM 38.429688 1732981926.3726
MEM 39.789062 1732981926.4749
MEM 40.726562 1732981926.5773
MEM 41.851562 1732981926.6797
MEM 41.472656 1732981926.7817
